id,category,subcategory,difficulty,question,option_1,option_2,option_3,option_4,correct_answer,explanation,confidence,source,created_at
66,docker,compose,1,What is the primary purpose of Back?,An image layer with additional configuration,A compose directive with additional configuration,"Back Ask AI Start typing to search or try Ask
AI",A container runtime with additional configuration,2,"Back Ask AI Start typing to search or try Ask
AI",0.8,compose,2025-08-25T19:48:13.179802
67,docker,compose,2,What is the main advantage of Ask?,Contact support Manuals Get started Guides Reference Docker Compose Page options Copy page as Markdown for LLMs View page as plain text Ask questions,A container runtime with additional configuration,An image layer with additional configuration,A compose directive with additional configuration,0,Contact support Manuals Get started Guides Reference Docker Compose Page options Copy page as Markdown for LLMs View page as plain text Ask questions with Docs AI Claude Open in Claude Docker Compose ,0.8,compose,2025-08-25T19:48:13.179806
68,docker,compose,2,Why would you use Start in compose?,"It also has commands for managing the whole lifecycle of your application: Start, stop, and rebuild services View the status of running services Stre",A compose directive with additional configuration,A container runtime with additional configuration,An image layer with additional configuration,0,"It also has commands for managing the whole lifecycle of your application: Start, stop, and rebuild services View the status of running services Stream the log output of running services Run a one-off",0.8,compose,2025-08-25T19:48:13.179809
69,docker,compose,2,What problem does Contact solve?,An image layer with additional configuration,A container runtime with additional configuration,Contact support Manuals Get started Guides Reference Docker Compose Page options Copy page as Markdown for LLMs View page as plain text Ask questions,A compose directive with additional configuration,2,Contact support Manuals Get started Guides Reference Docker Compose Page options Copy page as Markdown for LLMs View page as plain text Ask questions with Docs AI Claude Open in Claude Docker Compose ,0.8,compose,2025-08-25T19:48:13.179812
70,docker,compose,2,"In docker, what does Manuals refer to?",A  contact support manuals get started guides reference docker compose page options copy page as markdown for llms view page as plain text ask questions,An image layer with additional configuration,A container runtime with additional configuration,A compose directive with additional configuration,0,Manuals is correctly described as: A  contact support manuals get started guides reference docker compose page options copy page as mar,0.8,compose,2025-08-25T19:48:13.179816
61,docker,engine,1,How does Back differ from alternatives?,"Back Ask AI Start typing to search or try Ask
AI",An image layer with additional configuration,A container runtime with additional configuration,A compose directive with additional configuration,0,"Back Ask AI Start typing to search or try Ask
AI",0.8,engine,2025-08-25T19:48:13.179785
63,docker,engine,1,How is Start typically implemented?,A container runtime with additional configuration,"Back Ask AI Start typing to search or try Ask
AI",A compose directive with additional configuration,An image layer with additional configuration,1,"Back Ask AI Start typing to search or try Ask
AI",0.8,engine,2025-08-25T19:48:13.179792
62,docker,engine,2,Which approach is best for Ask?,Contact support Manuals Get started Guides Reference Docker Engine Page options Copy page as Markdown for LLMs View page as plain text Ask questions,A compose directive with additional configuration,A container runtime with additional configuration,An image layer with additional configuration,0,Contact support Manuals Get started Guides Reference Docker Engine Page options Copy page as Markdown for LLMs View page as plain text Ask questions with Docs AI Claude Open in Claude Table of content,0.8,engine,2025-08-25T19:48:13.179789
64,docker,engine,2,What is the main advantage of Contact?,A compose directive with additional configuration,An image layer with additional configuration,A container runtime with additional configuration,Contact support Manuals Get started Guides Reference Docker Engine Page options Copy page as Markdown for LLMs View page as plain text Ask questions,3,Contact support Manuals Get started Guides Reference Docker Engine Page options Copy page as Markdown for LLMs View page as plain text Ask questions with Docs AI Claude Open in Claude Table of content,0.8,engine,2025-08-25T19:48:13.179796
65,docker,engine,2,Why would you use Manuals in engine?,An image layer with additional configuration,A compose directive with additional configuration,Contact support Manuals Get started Guides Reference Docker Engine Page options Copy page as Markdown for LLMs View page as plain text Ask questions,A container runtime with additional configuration,2,Contact support Manuals Get started Guides Reference Docker Engine Page options Copy page as Markdown for LLMs View page as plain text Ask questions with Docs AI Claude Open in Claude Table of content,0.8,engine,2025-08-25T19:48:13.179799
71,docker,registry,1,What problem does Back solve?,A container runtime with additional configuration,"Back Ask AI Start typing to search or try Ask
AI",An image layer with additional configuration,A compose directive with additional configuration,1,"Back Ask AI Start typing to search or try Ask
AI",0.8,registry,2025-08-25T19:48:13.179819
73,docker,registry,1,Which of the following best describes Start?,An image layer with additional configuration,"A back ask ai start typing to search or try ask
ai",A container runtime with additional configuration,A compose directive with additional configuration,1,"Start is correctly described as: A back ask ai start typing to search or try ask
ai",0.8,registry,2025-08-25T19:48:13.179826
72,docker,registry,2,What problem does Ask solve?,A container runtime with additional configuration,An image layer with additional configuration,Contact support Manuals Get started Guides Reference Deprecated and retired Docker products and features Page options Copy page as Markdown for LLMs,A compose directive with additional configuration,2,Contact support Manuals Get started Guides Reference Deprecated and retired Docker products and features Page options Copy page as Markdown for LLMs View page as plain text Ask questions with Docs AI ,0.8,registry,2025-08-25T19:48:13.179823
74,docker,registry,2,What is the primary purpose of Contact?,An image layer with additional configuration,A compose directive with additional configuration,A container runtime with additional configuration,Contact support Manuals Get started Guides Reference Deprecated and retired Docker products and features Page options Copy page as Markdown for LLMs,3,Contact support Manuals Get started Guides Reference Deprecated and retired Docker products and features Page options Copy page as Markdown for LLMs View page as plain text Ask questions with Docs AI ,0.8,registry,2025-08-25T19:48:13.179829
75,docker,registry,2,Which of the following best describes Manuals?,A compose directive with additional configuration,A container runtime with additional configuration,An image layer with additional configuration,A  contact support manuals get started guides reference deprecated and retired docker products and features page options copy page as markdown for llms,3,Manuals is correctly described as: A  contact support manuals get started guides reference deprecated and retired docker products and f,0.8,registry,2025-08-25T19:48:13.179832
26,gcp,docs,2,What problem does Home solve?,Home Compute Engine Documentation Compute Engine documentation Read product documentation Compute Engine is a computing and hosting service that lets,An alternative to Home with additional configuration,A component of Home with additional configuration,A different approach to Home with additional configuration,0,"Home Compute Engine Documentation Compute Engine documentation Read product documentation Compute Engine is a computing and hosting service that lets you create
  and run virtual machines on Google in",0.8,docs,2025-08-25T19:48:13.179662
27,gcp,docs,2,How is Compute typically implemented?,A different approach to Compute with additional configuration,A component of Compute with additional configuration,An alternative to Compute with additional configuration,Learn more Training Training and tutorials Interactive walkthrough: Create a Linux VM in Compute Engine Create a Linux VM by using a tutorial that wa,3,Learn more Training Training and tutorials Interactive walkthrough: Create a Linux VM in Compute Engine Create a Linux VM by using a tutorial that walks you through the steps directly in the Cloud con,0.8,docs,2025-08-25T19:48:13.179665
28,gcp,docs,2,Why would you use Engine in docs?,A different approach to Engine with additional configuration,An alternative to Engine with additional configuration,A component of Engine with additional configuration,Learn more Training Training and tutorials Interactive walkthrough: Create a Linux VM in Compute Engine Create a Linux VM by using a tutorial that wa,3,Learn more Training Training and tutorials Interactive walkthrough: Create a Linux VM in Compute Engine Create a Linux VM by using a tutorial that walks you through the steps directly in the Cloud con,0.8,docs,2025-08-25T19:48:13.179669
30,gcp,docs,2,Why would you use Read in docs?,A different approach to Read with additional configuration,Home Compute Engine Documentation Compute Engine documentation Read product documentation Compute Engine is a computing and hosting service that lets,A component of Read with additional configuration,An alternative to Read with additional configuration,1,"Home Compute Engine Documentation Compute Engine documentation Read product documentation Compute Engine is a computing and hosting service that lets you create
  and run virtual machines on Google in",0.8,docs,2025-08-25T19:48:13.179676
31,gcp,docs,2,What is Console?,A component of Console with additional configuration,A different approach to Console with additional configuration,A  format_list_numbered guides get started: console quickstart or cli quickstart write functions: http or cloudevents deploy functions function triggers,An alternative to Console with additional configuration,2,Console is correctly described as: A  format_list_numbered guides get started: console quickstart or cli quickstart write functions: ht,0.8,docs,2025-08-25T19:48:13.179680
33,gcp,docs,2,When should you use Cloud?,A different approach to Cloud with additional configuration,format_list_numbered Guides Get started: Console quickstart or CLI quickstart Write functions: HTTP or CloudEvents Deploy functions Function triggers,A component of Cloud with additional configuration,An alternative to Cloud with additional configuration,1,format_list_numbered Guides Get started: Console quickstart or CLI quickstart Write functions: HTTP or CloudEvents Deploy functions Function triggers: HTTP or CloudEvents find_in_page Reference gcloud,0.8,docs,2025-08-25T19:48:13.179687
34,gcp,docs,2,What is the main advantage of Run?,A component of Run with additional configuration,format_list_numbered Guides Get started: Console quickstart or CLI quickstart Write functions: HTTP or CloudEvents Deploy functions Function triggers,An alternative to Run with additional configuration,A different approach to Run with additional configuration,1,format_list_numbered Guides Get started: Console quickstart or CLI quickstart Write functions: HTTP or CloudEvents Deploy functions Function triggers: HTTP or CloudEvents find_in_page Reference gcloud,0.8,docs,2025-08-25T19:48:13.179691
35,gcp,docs,2,What is required to use Home?,An alternative to Home with additional configuration,A different approach to Home with additional configuration,A component of Home with additional configuration,"Home Cloud Run functions Documentation Cloud Run functions documentation Read product documentation Cloud Run functions is a
  lightweight compute so",3,"Home Cloud Run functions Documentation Cloud Run functions documentation Read product documentation Cloud Run functions is a
  lightweight compute solution for developers to create single-purpose,
  s",0.8,docs,2025-08-25T19:48:13.179694
36,gcp,docs,2,What is Home?,A component of Home with additional configuration,An alternative to Home with additional configuration,A different approach to Home with additional configuration,A home cloud storage documentation cloud storage documentation read product documentation cloud storage allows world-wide storage and retrieval of any a,3,Home is correctly described as: A home cloud storage documentation cloud storage documentation read product documentation cloud stor,0.8,docs,2025-08-25T19:48:13.179698
37,gcp,docs,2,What is required to use Cloud?,js samples Samples for interacting with Cloud Storage Open GitHub arrow_forward Code sample Code Samples PHP samples Samples for interacting with Clou,A different approach to Cloud with additional configuration,A component of Cloud with additional configuration,An alternative to Cloud with additional configuration,0,js samples Samples for interacting with Cloud Storage Open GitHub arrow_forward Code sample Code Samples PHP samples Samples for interacting with Cloud Storage Open GitHub arrow_forward Code sample Co,0.8,docs,2025-08-25T19:48:13.179701
38,gcp,docs,2,How is Storage typically implemented?,A different approach to Storage with additional configuration,js samples Samples for interacting with Cloud Storage Open GitHub arrow_forward Code sample Code Samples PHP samples Samples for interacting with Clou,An alternative to Storage with additional configuration,A component of Storage with additional configuration,1,js samples Samples for interacting with Cloud Storage Open GitHub arrow_forward Code sample Code Samples PHP samples Samples for interacting with Cloud Storage Open GitHub arrow_forward Code sample Co,0.8,docs,2025-08-25T19:48:13.179705
40,gcp,docs,2,How is Read typically implemented?,Home Cloud Storage Documentation Cloud Storage documentation Read product documentation Cloud Storage allows world-wide storage and retrieval of any a,A component of Read with additional configuration,An alternative to Read with additional configuration,A different approach to Read with additional configuration,0,"Home Cloud Storage Documentation Cloud Storage documentation Read product documentation Cloud Storage allows world-wide storage and retrieval of any amount of
  data at any time",0.8,docs,2025-08-25T19:48:13.179712
41,gcp,docs,2,When should you use Home?,A component of Home with additional configuration,An alternative to Home with additional configuration,"Home Google Kubernetes Engine (GKE) Documentation Google Kubernetes Engine documentation Read product documentation Deploy, manage, and scale containe",A different approach to Home with additional configuration,2,"Home Google Kubernetes Engine (GKE) Documentation Google Kubernetes Engine documentation Read product documentation Deploy, manage, and scale containerized applications on Kubernetes, powered by Googl",0.8,docs,2025-08-25T19:48:13.179716
42,gcp,docs,2,What is Google?,A component of Google with additional configuration,An alternative to Google with additional configuration,A  format_list_numbered guides quickstart: create a cluster and deploy a workload configuring cluster access for kubectl access google cloud apis from g,A different approach to Google with additional configuration,2,Google is correctly described as: A  format_list_numbered guides quickstart: create a cluster and deploy a workload configuring cluste,0.8,docs,2025-08-25T19:48:13.179719
43,gcp,docs,2,What is required to use Kubernetes?,An alternative to Kubernetes with additional configuration,format_list_numbered Guides Quickstart: Create a cluster and deploy a workload Configuring cluster access for kubectl Access Google Cloud APIs from G,A component of Kubernetes with additional configuration,A different approach to Kubernetes with additional configuration,1,format_list_numbered Guides Quickstart: Create a cluster and deploy a workload Configuring cluster access for kubectl Access Google Cloud APIs from GKE workloads GKE security documentation GKE network,0.8,docs,2025-08-25T19:48:13.179723
44,gcp,docs,2,Which of the following best describes Engine?,An alternative to Engine with additional configuration,A different approach to Engine with additional configuration,A  format_list_numbered guides quickstart: create a cluster and deploy a workload configuring cluster access for kubectl access google cloud apis from g,A component of Engine with additional configuration,2,Engine is correctly described as: A  format_list_numbered guides quickstart: create a cluster and deploy a workload configuring cluste,0.8,docs,2025-08-25T19:48:13.179726
29,gcp,docs,3,What is the primary purpose of Documentation?,An alternative to Documentation with additional configuration,A component of Documentation with additional configuration,Home Compute Engine Documentation Compute Engine documentation Read product documentation Compute Engine is a computing and hosting service that lets,A different approach to Documentation with additional configuration,2,"Home Compute Engine Documentation Compute Engine documentation Read product documentation Compute Engine is a computing and hosting service that lets you create
  and run virtual machines on Google in",0.8,docs,2025-08-25T19:48:13.179673
32,gcp,docs,3,When should you use Quickstart?,A component of Quickstart with additional configuration,"If you are creating a new function, see the Console Quickstart on Cloud Run",An alternative to Quickstart with additional configuration,A different approach to Quickstart with additional configuration,1,"If you are creating a new function, see the Console Quickstart on Cloud Run",0.8,docs,2025-08-25T19:48:13.179684
39,gcp,docs,3,What problem does Documentation solve?,Home Cloud Storage Documentation Cloud Storage documentation Read product documentation Cloud Storage allows world-wide storage and retrieval of any a,An alternative to Documentation with additional configuration,A different approach to Documentation with additional configuration,A component of Documentation with additional configuration,0,"Home Cloud Storage Documentation Cloud Storage documentation Read product documentation Cloud Storage allows world-wide storage and retrieval of any amount of
  data at any time",0.8,docs,2025-08-25T19:48:13.179708
45,gcp,docs,3,What is Documentation?,A different approach to Documentation with additional configuration,"A home google kubernetes engine (gke) documentation google kubernetes engine documentation read product documentation deploy, manage, and scale containe",A component of Documentation with additional configuration,An alternative to Documentation with additional configuration,1,Documentation is correctly described as: A home google kubernetes engine (gke) documentation google kubernetes engine documentation read prod,0.8,docs,2025-08-25T19:48:13.179730
96,go,effective_go,2,When should you use Documentation?,An alternative to Documentation with additional configuration,A different approach to Documentation,Documentation Effective Go Effective Go Introduction Go is a new language,A component of Documentation with additional configuration,2,Documentation Effective Go Effective Go Introduction Go is a new language,0.8,effective_go,2025-08-25T19:48:13.179910
97,go,effective_go,2,Which approach is best for Effective?,"Effective Go continues to be useful, but the reader should
understand it is far from a complete guide",An alternative to Effective with additional configuration,A different approach to Effective with additional configuration,A component of Effective with additional configuration,0,"Effective Go continues to be useful, but the reader should
understand it is far from a complete guide",0.8,effective_go,2025-08-25T19:48:13.179914
99,go,effective_go,2,What is Although?,An alternative to Although with additional configuration,A component of Although with additional configuration,A different approach to Although with additional configuration,"A 
although it is a good guide to understand how to use the language
itself, thanks to the stability of the language, it says little
about the libraries",3,"Although is correctly described as: A 
although it is a good guide to understand how to use the language
itself, thanks to the stability",0.8,effective_go,2025-08-25T19:48:13.179922
100,go,effective_go,2,What is the primary purpose of Java?,A component of Java with additional configuration,An alternative to Java with additional configuration,A different approach to Java with additional configuration,"A straightforward translation of a C++ or Java program into Go
is unlikely to produce a satisfactory result—Java programs
are written in Java, not Go",3,"A straightforward translation of a C++ or Java program into Go
is unlikely to produce a satisfactory result—Java programs
are written in Java, not Go",0.8,effective_go,2025-08-25T19:48:13.179926
98,go,effective_go,3,What is the primary purpose of Introduction?,A component of Introduction with additional configuration,A different approach to Introduction with additional configuration,An alternative to Introduction with additional configuration,Documentation Effective Go Effective Go Introduction Go is a new language,3,Documentation Effective Go Effective Go Introduction Go is a new language,0.8,effective_go,2025-08-25T19:48:13.179918
101,go,tutorial,2,Which approach is best for Documentation?,"Documentation Tutorials Tutorials If you're new to a part of Go, take a look at the tutorials linked below",An alternative to Documentation with additional configuration,A component of Documentation with additional configuration,A different approach to Documentation with additional configuration,0,"Documentation Tutorials Tutorials If you're new to a part of Go, take a look at the tutorials linked below",0.8,tutorial,2025-08-25T19:48:13.179930
103,go,tutorial,2,Which of the following best describes Download?,A different approach to Download,"A  if you haven't installed go yet, see download and install",An alternative to Download with additional configuration,A component of Download with additional configuration,1,"Download is correctly described as: A  if you haven't installed go yet, see download and install",0.8,tutorial,2025-08-25T19:48:13.179937
105,go,tutorial,2,Which approach is best for Description?,An alternative to Description with additional configuration,"Tutorial Description Getting started Say Hello, World with Go",A different approach to Description,A component of Description with additional configuration,1,"Tutorial Description Getting started Say Hello, World with Go",0.8,tutorial,2025-08-25T19:48:13.179944
102,go,tutorial,3,What problem does Tutorials solve?,"Documentation Tutorials Tutorials If you're new to a part of Go, take a look at the tutorials linked below",An alternative to Tutorials with additional configuration,A component of Tutorials with additional configuration,A different approach to Tutorials with additional configuration,0,"Documentation Tutorials Tutorials If you're new to a part of Go, take a look at the tutorials linked below",0.8,tutorial,2025-08-25T19:48:13.179934
104,go,tutorial,3,Why would you use Tutorial in tutorial?,"Documentation Tutorials Tutorials If you're new to a part of Go, take a look at the tutorials linked below",A component of Tutorial with additional configuration,A different approach to Tutorial with additional configuration,An alternative to Tutorial with additional configuration,0,"Documentation Tutorials Tutorials If you're new to a part of Go, take a look at the tutorials linked below",0.8,tutorial,2025-08-25T19:48:13.179941
86,javascript,Guide,2,Which of the following best describes JavaScript?,A of functions overview: functions defining functions calling functions function scopes and closures arguments & parameters arrow functions expressions,A component of JavaScript with additional configuration,An alternative to JavaScript with additional configuration,A different approach to JavaScript with additional configuration,0,JavaScript is correctly described as: A of functions overview: functions defining functions calling functions function scopes and closures,0.8,Guide,2025-08-25T19:48:13.179876
87,javascript,Guide,2,"In javascript, what does Guide refer to?",A different approach to Guide with additional configuration,An alternative to Guide with additional configuration,A component of Guide with additional configuration,A javascript guide the javascript guide shows you how to use javascript and gives an overview of the language,3,Guide is correctly described as: A javascript guide the javascript guide shows you how to use javascript and gives an overview of the,0.8,Guide,2025-08-25T19:48:13.179879
88,javascript,Guide,2,What is This?,A different approach to This with additional configuration,A component of This with additional configuration,A  language overview data structures enumerability and ownership of properties inheritance and the prototype chain equality comparisons and sameness clo,An alternative to This with additional configuration,2,This is correctly described as: A  language overview data structures enumerability and ownership of properties inheritance and the p,0.8,Guide,2025-08-25T19:48:13.179882
89,javascript,Guide,2,Why would you use Introduction in Guide?,A different approach to Introduction with additional configuration,A component of Introduction with additional configuration,An alternative to Introduction with additional configuration,Introduction Overview: Introduction About this guide About JavaScript JavaScript and Java ECMAScript Tools What's next Grammar and types Overview: Gr,3,Introduction Overview: Introduction About this guide About JavaScript JavaScript and Java ECMAScript Tools What's next Grammar and types Overview: Grammar and types Basic syntax & comments Declaration,0.8,Guide,2025-08-25T19:48:13.179886
